ts,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,city_id
2026-09-15 00:00:00,13.1,79.0,0.0,7.6,RU_LED
2026-09-15 01:00:00,12.4,82.0,0.0,6.1,RU_LED
2026-09-15 02:00:00,11.8,82.0,0.0,5.8,RU_LED
2026-09-15 03:00:00,11.1,81.0,0.0,5.4,RU_LED
2026-09-15 04:00:00,10.8,80.0,0.0,4.7,RU_LED
2026-09-15 05:00:00,10.7,82.0,0.0,3.6,RU_LED
2026-09-15 06:00:00,10.3,87.0,0.0,3.6,RU_LED
2026-09-15 07:00:00,10.4,85.0,0.0,4.7,RU_LED
2026-09-15 08:00:00,11.3,83.0,0.0,3.2,RU_LED
2026-09-15 09:00:00,12.4,79.0,0.0,2.2,RU_LED
2026-09-15 10:00:00,13.4,74.0,0.0,3.6,RU_LED
2026-09-15 11:00:00,14.4,67.0,0.0,4.7,RU_LED
2026-09-15 12:00:00,15.3,58.0,0.0,8.3,RU_LED
2026-09-15 13:00:00,16.0,50.0,0.0,9.4,RU_LED
2026-09-15 14:00:00,16.3,49.0,0.0,9.4,RU_LED
2026-09-15 15:00:00,16.6,47.0,0.0,9.0,RU_LED
2026-09-15 16:00:00,16.6,49.0,0.0,7.6,RU_LED
2026-09-15 17:00:00,16.6,51.0,0.0,7.6,RU_LED
2026-09-15 18:00:00,16.2,53.0,0.0,7.9,RU_LED
2026-09-15 19:00:00,15.3,60.0,0.0,8.6,RU_LED
2026-09-15 20:00:00,14.8,64.0,0.0,5.8,RU_LED
2026-09-15 21:00:00,14.4,68.0,0.0,5.4,RU_LED
2026-09-15 22:00:00,14.0,70.0,0.0,4.3,RU_LED
2026-09-15 23:00:00,13.5,71.0,0.0,6.1,RU_LED
2026-09-16 00:00:00,12.8,75.0,0.0,8.3,RU_LED
2026-09-16 01:00:00,12.9,75.0,0.0,8.3,RU_LED
2026-09-16 02:00:00,12.8,74.0,0.0,10.1,RU_LED
2026-09-16 03:00:00,12.9,69.0,0.0,9.7,RU_LED
2026-09-16 04:00:00,12.7,69.0,0.0,10.4,RU_LED
2026-09-16 05:00:00,12.6,69.0,0.0,8.3,RU_LED
2026-09-16 06:00:00,12.5,72.0,0.0,11.2,RU_LED
2026-09-16 07:00:00,12.5,73.0,0.0,11.2,RU_LED
2026-09-16 08:00:00,12.8,73.0,0.0,12.6,RU_LED
2026-09-16 09:00:00,13.0,75.0,0.0,11.5,RU_LED
2026-09-16 10:00:00,13.2,79.0,0.0,11.2,RU_LED
2026-09-16 11:00:00,13.6,81.0,0.0,11.9,RU_LED
2026-09-16 12:00:00,14.5,78.0,0.0,12.6,RU_LED
2026-09-16 13:00:00,15.2,78.0,0.0,12.6,RU_LED
2026-09-16 14:00:00,15.4,79.0,0.0,13.0,RU_LED
2026-09-16 15:00:00,16.1,76.0,0.0,14.0,RU_LED
2026-09-16 16:00:00,16.7,74.0,0.0,15.5,RU_LED
2026-09-16 17:00:00,16.9,74.0,0.0,15.1,RU_LED
2026-09-16 18:00:00,16.7,78.0,0.0,15.1,RU_LED
2026-09-16 19:00:00,16.4,79.0,0.0,14.8,RU_LED
2026-09-16 20:00:00,15.9,81.0,0.0,15.1,RU_LED
2026-09-16 21:00:00,15.3,84.0,0.0,16.6,RU_LED
2026-09-16 22:00:00,15.1,85.0,0.0,17.3,RU_LED
2026-09-16 23:00:00,14.9,85.0,0.0,18.0,RU_LED
2026-09-17 00:00:00,14.8,86.0,0.0,17.3,RU_LED
2026-09-17 01:00:00,14.7,87.0,0.0,18.7,RU_LED
2026-09-17 02:00:00,14.6,87.0,0.0,20.5,RU_LED
2026-09-17 03:00:00,14.5,87.0,0.0,19.4,RU_LED
2026-09-17 04:00:00,14.5,87.0,0.0,19.8,RU_LED
2026-09-17 05:00:00,14.6,89.0,0.3,19.1,RU_LED
2026-09-17 06:00:00,14.6,91.0,1.3,18.4,RU_LED
2026-09-17 07:00:00,14.7,91.0,0.4,18.0,RU_LED
2026-09-17 08:00:00,14.9,91.0,0.5,16.6,RU_LED
2026-09-17 09:00:00,14.9,85.0,0.1,15.5,RU_LED
2026-09-17 10:00:00,15.2,81.0,0.0,16.2,RU_LED
2026-09-17 11:00:00,15.5,77.0,0.0,16.2,RU_LED
2026-09-17 12:00:00,15.9,75.0,0.0,15.8,RU_LED
2026-09-17 13:00:00,16.3,73.0,0.0,16.2,RU_LED
2026-09-17 14:00:00,16.9,70.0,0.03,16.3,RU_LED
2026-09-17 15:00:00,17.2,64.0,0.05,15.0,RU_LED
2026-09-17 16:00:00,17.4,67.0,0.08,12.9,RU_LED
2026-09-17 17:00:00,17.2,68.0,0.1,12.4,RU_LED
2026-09-17 18:00:00,16.5,71.0,0.1,13.5,RU_LED
2026-09-17 19:00:00,15.8,74.0,0.0,11.9,RU_LED
2026-09-17 20:00:00,14.9,77.0,0.0,10.9,RU_LED
2026-09-17 21:00:00,14.2,79.0,0.1,10.0,RU_LED
2026-09-17 22:00:00,13.9,79.0,0.0,11.7,RU_LED
2026-09-17 23:00:00,13.5,79.0,0.0,13.5,RU_LED
2026-09-18 00:00:00,13.0,81.0,0.0,12.5,RU_LED
2026-09-18 01:00:00,12.4,84.0,0.0,12.6,RU_LED
2026-09-18 02:00:00,12.0,87.0,0.0,12.4,RU_LED
2026-09-18 03:00:00,11.7,88.0,0.0,11.8,RU_LED
2026-09-18 04:00:00,11.4,89.0,0.0,12.5,RU_LED
2026-09-18 05:00:00,11.1,90.0,0.0,12.3,RU_LED
2026-09-18 06:00:00,10.8,91.0,0.0,12.5,RU_LED
2026-09-18 07:00:00,10.7,92.0,0.0,12.7,RU_LED
2026-09-18 08:00:00,11.3,90.0,0.0,12.7,RU_LED
2026-09-18 09:00:00,12.6,86.0,0.0,10.8,RU_LED
2026-09-18 10:00:00,13.9,79.0,0.0,16.5,RU_LED
2026-09-18 11:00:00,15.0,72.0,0.0,16.3,RU_LED
